,id,title,rating,user
0,234225,"Dune (Dune Chronicles, #1)",0,0
1,11507,My Name Is Asher Lev,5,0
2,4069,Man's Search for Meaning,5,0
3,7624,Lord of the Flies,4,0
4,157993,The Little Prince,4,0
5,114683,Wall and Piece,5,0
6,608287,Jesus' Son,4,0
7,782151,The Motel Life,4,0
8,168073,The Works of Josephus,5,0
9,168668,"Catch-22 (Catch-22, #1)",4,0
10,5015099,The Life of Chief Joseph,4,0
11,297673,The Brief Wondrous Life of Oscar Wao,5,0
12,3805,The Corrections,4,0
13,141519,Sonny Liston was a Friend of Mine,5,0
14,101178,Cold Snap,5,0
15,101172,The Pugilist at Rest,5,0
0,18512,"The Return of the King (The Lord of the Rings, #3)",5,1
1,15241,"The Two Towers (The Lord of the Rings, #2)",4,1
2,34,"The Fellowship of the Ring (The Lord of the Rings, #1)",5,1
3,5907,"The Hobbit, or There and Back Again",4,1
4,70401,On the Road,5,1
5,1381,The Odyssey,4,1
6,51497,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,5,1
7,12296,The Scarlet Letter,4,1
8,18490,Frankenstein,4,1
9,7613,Animal Farm,5,1
10,5470,1984,4,1
11,1885,Pride and Prejudice,4,1
0,3531206,Prashika: Eklavya's Innovative Experiment in Primary Education,0,3
1,13600641,"2:32 AM (The Djinn Master's Legacy, #1)",4,3
0,1812457,The Shack,0,4
1,19486412,Big Little Lies,0,4
2,34102633,"Crazy House (Crazy House, #1)",0,4
3,10964,"Outlander (Outlander, #1)",0,4
4,13158800,The Light Between Oceans,0,4
5,26247008,Truly Madly Guilty,0,4
6,14740588,"Notorious Nineteen (Stephanie Plum, #19)",0,4
7,25613617,"15th Affair (Women's Murder Club, #15)",0,4
8,24817626,Go Set a Watchman,0,4
9,10644930,11/22/63,0,4
10,22557272,The Girl on the Train,3,4
0,23848559,Furiously Happy: A Funny Book About Horrible Things,0,5
1,35403039,The End of Policing,0,5
2,43317538,The Hard Tomorrow,0,5
3,17465453,The Signature of All Things,0,5
4,9418327,Bossypants,0,5
5,44767467,High Achiever: The Incredible True Story of One Addict's Double Life,0,5
6,43923951,Such a Fun Age,0,5
7,51338489,Weird: The Power of Being an Outsider in an Insider World,0,5
8,41150487,"Red, White & Royal Blue",0,5
9,15796700,Americanah,0,5
10,43821569,On Fire: The Case for the Green New Deal,0,5
11,33590210,An American Marriage,0,5
12,42983586,American Dreamer (Dreamers #1),0,5
13,43198519,"American Fairytale (Dreamers, #2)",0,5
14,46038658,"American Love Story (Dreamers, #3)",0,5
15,37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,0,5
16,43744322,The Other's Gold,0,5
17,25893681,Becoming Nicole: The Transformation of an American Family,0,5
18,7445,The Glass Castle,0,5
19,38746485,Becoming,0,5
0,688489,Technics and Civilization,0,6
0,25053346,In a Blue Moon,0,8
1,10421390,Jingga Dalam Elegi,0,8
2,7717066,Jingga dan Senja,5,8
3,18665343,Lukisan Hujan,0,8
4,10793201,"Promises, Promises",0,8
5,12224527,Infinitely Yours,0,8
6,7299756,Soe Hok-Gie...Sekali Lagi: Buku Pesta dan Cinta di Alam Bangsanya,5,8
7,31359829,Milea: Suara Dari Dilan,0,8
8,25857857,Dilan Bagian Kedua: Dia Adalah Dilanku Tahun 1991,0,8
9,22037542,"Dilan: Dia Adalah Dilanku Tahun 1990 (Dilan, #1)",0,8
10,27995057,Love Theft #1,0,8
11,29097303,Love Theft #2,0,8
12,23364265,French Pink,0,8
13,22884752,Priceless Moment,0,8
14,15749186,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",4,8
15,22081836,Interlude,0,8
16,1885,Pride and Prejudice,4,8
17,13409193,Unforgettable,0,8
18,13601021,DreamCatcher,0,8
19,18588213,Tokyo: Falling,0,8
0,5346,The Last Juror,4,17
1,836512,"Ageless Body, Timeless Mind: The Quantum Alternative to Growing Old",4,17
2,32085,"All Creatures Great and Small (All Creatures Great and Small, #1)",3,17
3,2612,The Tipping Point: How Little Things Can Make a Big Difference,5,17
4,40102,Blink: The Power of Thinking Without Thinking,4,17
5,183715,Five Past Midnight in Bhopal: The Epic Story of the World's Deadliest Industrial Disaster,4,17
6,15785589,The City of Joy,5,17
7,4214,Life of Pi,4,17
8,9777,The God of Small Things,2,17
9,50365,"A Suitable Boy (A Suitable Boy, #1)",3,17
10,231584,The English Patient,4,17
11,9712,Love in the Time of Cholera,0,17
0,968,"The Da Vinci Code (Robert Langdon, #2)",0,21
1,960,"Angels & Demons (Robert Langdon, #1)",0,21
2,17587594,Dan Brown Inferno (Robert Langdon) Unofficial Guide,0,21
3,38726160,The Spy and the Traitor: The Greatest Espionage Story of the Cold War,0,21
4,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",0,21
5,40725650,The Immortalists,0,21
6,15769,"The Bourne Supremacy (Jason Bourne, #2)",0,21
7,21853621,The Nightingale,0,21
8,18143977,All the Light We Cannot See,0,21
9,4138,Naked,0,21
